temperature,stree [s]/control[k] group,survival in %
29,S,100
29,S,100
29,S,90
29,S,90
29,S,90
27,S,50
27,S,80
27,S,66.66666667
27,S,100
27,S,90
35,S,100
31,S,85.71428571
31,S,100
31,S,100
31,S,80
33,S,80
33,S,90
33,S,90
33,S,90
27,S,100
27,S,100
27,S,100
27,S,100
27,S,88.88888889
27,S,80
27,S,90
27,S,100
27,S,100
27,S,66.66666667
29,S,70
29,S,100
29,S,100
29,S,100
29,S,100
29,S,100
29,S,80
29,S,100
29,S,80
29,S,100
29,S,100
29,S,100
31,S,83.33333333
31,S,80
31,S,100
31,S,100
31,S,70
31,S,66.66666667
31,S,70
31,S,100
31,S,90
31,S,90
31,S,77.77777778
31,S,10
33,S,90
33,S,100
33,S,90
33,S,90
33,S,90
33,S,80
33,S,100
33,S,77.77777778
33,S,80
33,S,100
33,S,100
33,S,90
35,S,77.77777778
35,S,70
35,S,100
37,S,44.44444444
37,S,90
37,S,60
37,K,75
37,K,70
29,K,88.88888889
29,K,100
29,K,100
29,K,100
29,K,100
29,K,80
31,K,100
31,K,100
31,K,100
31,K,100
31,K,90
31,K,100
31,K,100
27,K,100
27,K,100
27,K,100
27,K,100
27,K,100
33,K,100
33,K,90
33,K,100
33,K,100
33,K,100
33,K,100
35,K,70
35,K,100
35,K,50
35,K,80
35,K,100
35,K,100
27,S,50
27,S,50
27,S,100
27,S,88.88888889
27,S,80
27,S,80
27,S,80
27,S,80
27,S,100
27,S,90
29,S,100
29,S,88.88888889
29,S,100
29,S,100
29,S,90
29,S,72.72727273
37,S,70
37,S,60
37,S,40
37,S,50
37,S,50
37,S,50
33,S,100
33,S,90
33,S,100
33,S,80
33,S,100
33,S,90
33,S,100
33,S,80
33,S,100
31,S,100
31,S,90
31,S,30
31,S,50
31,S,77.77777778
31,S,50
31,S,60
35,S,60
35,S,70
35,S,100
35,S,50
35,S,57.14285714
35,S,100
37,K,60
37,K,70
31,K,90
31,K,80
31,K,100
29,K,100
29,K,100
29,K,45.45454545
29,K,100
29,K,90
29,K,90
29,K,100
29,K,80
37,K,100
37,K,100
37,K,100
27,K,100
27,K,88.88888889
27,K,100
27,K,100
27,K,90
27,K,100
27,K,100
27,K,90
31,K,100
31,K,100
31,K,0
33,K,80
33,K,100
33,K,71.42857143
33,K,100
33,K,70
33,K,100
33,K,70
35,K,90
35,K,100
35,K,66.66666667
35,K,100
35,K,100
35,K,100
35,K,100
27,S,80
27,S,100
27,S,60
27,S,66.66666667
27,S,0
27,S,90
27,S,100
29,S,70
29,S,100
29,S,0
29,S,100
29,S,70
29,S,100
29,S,90
31,S,100
31,S,100
31,S,50
31,S,100
31,S,70
31,S,60
33,S,90
33,S,90
33,S,90
33,S,80
33,S,80
33,S,85.71428571
33,S,100
35,S,75
35,S,60
35,S,66.66666667
35,S,44.44444444
35,S,70
35,S,40
35,S,90
37,S,50
37,S,0
37,S,50
37,S,100
37,S,50
37,S,50
27,S,70
27,S,40
27,S,30
27,S,30
27,S,88.88888889
29,S,90
29,S,100
29,S,100
29,S,100
31,S,12.5
31,S,10
31,S,100
33,S,90
33,S,80
33,S,80
33,S,80
33,S,20
33,S,100
35,S,40
35,S,100
35,S,100
35,S,60
35,S,20
35,S,87.5
37,S,0
37,S,60
37,S,75
37,S,20
27,K,100
27,K,90
27,K,100
29,K,90
29,K,100
33,K,100
33,K,100
33,K,100
35,K,100
35,K,80
35,K,50
37,K,60
37,K,85.71428571
27,S,37.5
27,S,66.66666667
27,S,87.5
29,S,42.85714286
29,S,70
31,S,50
31,S,37.5
31,S,50
31,S,37.5
31,S,60
33,S,66.66666667
33,S,40
33,S,70
35,S,80
35,S,50
35,S,20
35,S,20
35,S,50
37,S,0
37,S,10
37,S,20
27,K,90
27,K,90
31,K,100
31,K,70
31,K,100
37,K,71.42857143
37,K,60
27,K,100
27,K,100
29,K,80
29,K,100
29,K,100
31,K,66.66666667
33,K,100
33,K,100
33,K,60
35,K,100
35,K,50
35,K,80
37,K,80
27,S,40
29,S,100
29,S,80
31,S,90
31,S,70
33,S,80
33,S,20
35,S,80
35,S,70
35,S,100
37,S,0
37,S,10
37,S,50
37,S,20
37,S,40
29,K,100
29,K,100
27,K,100
27,K,100
35,K,100
31,K,100
31,K,100
31,K,100
37,K,100
33,K,100
33,K,100
27,S,66.66666667
27,S,60
27,S,100
29,S,50
29,S,90
29,S,80
31,S,80
31,S,60
33,S,80
33,S,75
33,S,60
35,S,66.66666667
35,S,60
35,S,60
37,S,16.66666667
37,S,25
37,S,40
27,S,50
27,S,100
29,S,80
29,S,70
31,S,50
31,S,60
35,S,50
35,S,60
33,S,78.57142857
33,S,70
37,S,75
37,S,12.5
29,K,100
33,K,100
31,K,100
31,K,80
27,K,90
27,S,70
27,S,83.33333333
29,S,85.71428571
29,S,50
29,S,100
29,S,85.71428571
31,S,90
31,S,100
33,S,60
33,S,87.5
33,S,0
35,S,70
35,S,36.36363636
35,S,57.14285714
37,S,50
37,S,83.33333333
29,K,100
31,K,100
31,K,100
33,K,100
35,K,90
29,K,100
31,K,100
31,K,100
33,K,100
35,K,87.5
27,S,41.66666667
27,S,60
27,S,100
29,S,60
29,S,100
31,S,100
31,S,90
33,S,90
33,S,60
33,S,77.77777778
35,S,50
35,S,88.88888889
35,S,70
37,S,60
37,S,0
37,S,50
37,S,40
27,S,100
27,S,80
29,S,60
31,S,100
33,S,55.55555556
35,S,100
35,S,70
29,K,90
31,K,100
33,K,100
35,K,100
35,K,90
27,K,90
37,K,80
37,K,66.66666667
29,S,60
27,S,83.33333333
35,S,40
37,S,60
37,S,75
27,K,100
29,K,100
31,K,100
33,K,100
35,K,100
37,K,90.90909091
33,S,100
37,S,80
37,S,70
37,S,80
35,S,100
27,K,90
29,K,100
35,K,100
37,K,100
37,K,90
27,S,100
35,S,90
33,K,100
35,K,100
37,K,88.88888889
37,K,90
37,K,90
29,S,100
35,S,100
37,S,36.36363636
37,S,9.090909091
37,S,0
37,S,27.27272727
27,K,100
37,S,0
37,S,10
37,K,100
37,S,10
37,K,42.85714286
